Post Office Name,Municipality,Address,Zip Code,Province,Building
BABAK,Babak,"Municipal Hall Bldg., Babak, Davao del Norte",8118,Metro Davao,Municipal Hall Bldg.
Bo. Pampanga,Davao City,"Hizon Brgy. Hall, Bo. Pampanga, Lanang, Davao City",8000,Metro Davao,Hizon Brgy. Hall
Bunawan,Davao City,"District Hall Bldg., Bunawan, Davao City",8000,Metro Davao,District Hall Bldg.
Calinan,Davao City,"District Hall Bldg.,Calinan, Davao City",8000,Metro Davao,District Hall Bldg.
C-SQUARE,Davao City,"Carter Square Bldg., Buhangin Junction, Davao City",8000,Metro Davao,Carter Square Bldg.
Davao City Central,Davao City,"R. Magsaysay corner Roxas Extension, Davao City",8000,Metro Davao,R. Magsaysay corner Roxas Extension
Gaisano Mall,Davao City,"Upper level, G. Mall, J.P. Laurel Ave.,Davao City",8000,Metro Davao,Upper level
Matina,Davao City,"Brgy. Hall Bldg., Matina Crossing, Matina, Davao City",8000,Metro Davao,Brgy. Hall Bldg.
METRO CIRCLE,Davao City,"Metro Circle Bldg., Bankerohan, Davao City",8000,Metro Davao,Metro Circle Bldg.
Mintal,Davao City,"Mintal Proper, Tugbok District, Davao City",8000,Metro Davao,Mintal Proper
NCCC Mall,Davao City,"NCCC Mall, cor. McArthur Highway, Maa Road, Maa, Dvavao City",8000,Metro Davao,NCCC Mall
Panacan,Davao City,"Panacan Brgy. Hall Bldg., Panacan, DC",8000,Metro Davao,Panacan Brgy. Hall Bldg.
Samal,Island Garden Samal,"City Hall, Peñaplata, Samal District, Island Garden City of Samal",2113,Metro Davao,City Hall
Sangguniang Panglungsod,Davao City,"SP Bldg., in front of San Pedro Cathedral, San Pedro St., Dvao City",8000,Metro Davao,SP Bldg.
Talomo,Davao City,"Brgy. Talomo, infront of Talomo Police Station, Ulas, Davao City",8000,Metro Davao,Brgy. Talomo
Toril,Davao City,"District Hall Bldg., Toril, Davao City",8000,Metro Davao,District Hall Bldg.
University of Mindanao,Davao City,"UM School Campus, Bolton St., Davao City",8000,Metro Davao,UM School Campus
Victoria Plaza,Davao City,"Victoria Plaza Mall, J.P. Laurel Ave., Davao City",8000,Metro Davao,Victoria Plaza Mall
Asuncion,Asuncion,"Gymnasium, Municipal Compound,Asuncion,Dvo.del Norte",8102,Davao Del Norte / Compostela Valley,Gymnasium
Carmen,Carmen,"Municipal Hall Bldg.,Carmen, Davao del Norte",8101,Davao Del Norte / Compostela Valley,Municipal Hall Bldg.
Compostela,Compostela,"Municipal Hall bldg.,Compostela, Compostela Valley",8109,Davao Del Norte / Compostela Valley,Municipal Hall bldg.
Dapecol,Sto Tomas,"Dapecol Compound, Sto. Tomas, Davao del Norte",8112,Davao Del Norte / Compostela Valley,Dapecol Compound
Gasiano Mall,Tagum City,"Gaisano Mall, Quirante 2, Tagum City",8100,Davao Del Norte / Compostela Valley,Gaisano Mall
Kapalong,Kapalong,"Municipal Hall Bldg.,Kapalong, Davao del Norte",8113,Davao Del Norte / Compostela Valley,Municipal Hall Bldg.
Laak,Laak,"Municipal Bldg.,Laak, Davao del Norte",8103,Davao Del Norte / Compostela Valley,Municipal Bldg.
Mabini,Mabini,"Municipal Compound,Mabini, Compostela Valley",8115,Davao Del Norte / Compostela Valley,Municipal Compound
Maco,Maco,"Municipal Bldg.,Maco, Compostela Valley",8114,Davao Del Norte / Compostela Valley,Municipal Bldg.
Maragusan,Maragusan,"Municipal Bldg.,Maragusan, Compostela Valley",8116,Davao Del Norte / Compostela Valley,Municipal Bldg.
Mawab,Mawab,"Municipal bldg.,Mawab, Compostela Valley",8108,Davao Del Norte / Compostela Valley,Municipal bldg.
Monkayo,Monkayo,"Municipal Compound,Monkayo, Compostela Valley",8111,Davao Del Norte / Compostela Valley,Municipal Compound
Montevista,Montevista,"Municipal Bldg.,Montevista, Compostela Valley",8107,Davao Del Norte / Compostela Valley,Municipal Bldg.
Nabunturan,Nabunturan,"Municipal Hall Bldg.,Nabunturan, Compostela Valley",8106,Davao Del Norte / Compostela Valley,Municipal Hall Bldg.
NCCC Mall,Tagum City,"NCCC Mall, National Highway, Tagum City",8100,Davao Del Norte / Compostela Valley,NCCC Mall
New Bataan,New Bataan,"Municipal Hall Bldg.,New Bataan, compostela Valley",8110,Davao Del Norte / Compostela Valley,Municipal Hall Bldg.
New Corella,New Corella,"Municipal Bldg.,New Corella, Davao del Norte",8104,Davao Del Norte / Compostela Valley,Municipal Bldg.
Panabo City,Panabo City,"City Hall Drive, Panabo City, Davao del Norte",8105,Davao Del Norte / Compostela Valley,City Hall Drive
Pantukan,Pantukan,"Municipal Compound,Pantukan, Compostela Valley",8117,Davao Del Norte / Compostela Valley,Municipal Compound
Sto. Tomas,Sto. Tomas,"Municipal Hall Bldg.,Sto. Tomas, Davao del Norte",8112,Davao Del Norte / Compostela Valley,Municipal Hall Bldg.
Tagum City,Tagum City,"Mankilam, Tagum City, Davao del Norte",8100,Davao Del Norte / Compostela Valley,Mankilam
Tagum City Hall,Tagum City,"City Hall Bldg., Rizal St., Tagum City",8100,Davao Del Norte / Compostela Valley,City Hall Bldg.
Imelda,Imelda,"Imelda, Zambo. Sibugay",7007,Zamboanga Sibugay,
Diplahan,Diplahan,"Diplahan, Zambo. Sibugay",7039,Zamboanga Sibugay,
Buug,Buug,"Buug, Zambo. Sibugay",7009,Zamboanga Sibugay,
Ipil,Ipil,"Ipil, Zambo. Sibugay",7001,Zamboanga Sibugay,
Kabasalan,Kabasalan,"Kabasalan, Zambo. Sibugay",7005,Zamboanga Sibugay,
Malangas,Malangas,"Malangas, Zambo. Sibugay",7038,Zamboanga Sibugay,
Olutanga,Olutanga,"Olutanga, Zambo. Sibugay",7041,Zamboanga Sibugay,
Siay,Siay,,7006,Zamboanga Sibugay,
Alicia,Alicia,"Alicia, Zambo. Sibugay",7040,Zamboanga Sibugay,
